,Dates,WIS,WIS death,Actual data
0,2019-12-31,0.0,0.0,0.0
1,2020-01-01,0.0,0.0,0.0
2,2020-01-02,0.0,0.0,0.0
3,2020-01-03,0.0,0.0,0.0
4,2020-01-04,0.0,0.0,0.0
5,2020-01-05,0.0,0.0,0.0
6,2020-01-06,0.0,0.0,0.0
7,2020-01-07,1.0,0.0,0.0
8,2020-01-08,1.0,0.0,0.0
9,2020-01-09,1.0249999999999773,0.0,0.0
10,2020-01-10,2.0,0.0,0.0
11,2020-01-11,2.0,0.0,0.0
12,2020-01-12,2.0,0.0,0.0
13,2020-01-13,3.0000000000000004,0.0,0.0
14,2020-01-14,3.0000000000000004,0.0,0.0
15,2020-01-15,4.0,0.0,0.0
16,2020-01-16,42.99999999999999,0.0,0.0
17,2020-01-17,44.0,0.0,0.0
18,2020-01-18,44.0,0.0,0.0
19,2020-01-19,45.0,0.0,0.0
20,2020-01-20,45.0,0.0,0.0
21,2020-01-21,84.0,0.0,0.0
22,2020-01-22,85.0,0.0,0.0
23,2020-01-23,85.0,0.0,0.0
24,2020-01-24,85.0,0.0,0.0
25,2020-01-25,85.99999999999999,0.0,0.0
26,2020-01-26,85.99999999999999,0.0,0.0
27,2020-01-27,84.02500000000006,0.0,1.0
28,2020-01-28,85.99999999999999,0.0,1.0
29,2020-01-29,46.0,0.0,2.0
30,2020-01-30,46.02499999999998,0.0,2.0
31,2020-01-31,47.0,0.0,2.0
32,2020-02-01,47.0,0.0,2.0
33,2020-02-02,48.00000000000001,0.0,2.0
34,2020-02-03,48.00000000000001,0.0,2.0
35,2020-02-04,49.0,0.0,2.0
36,2020-02-05,49.0,0.0,2.0
37,2020-02-06,49.0,0.0,2.0
38,2020-02-07,89.0,0.0,2.0
39,2020-02-08,89.0,0.0,2.0
40,2020-02-09,90.0,0.0,2.0
41,2020-02-10,90.0,0.0,2.0
42,2020-02-11,128.02500000000006,0.0,2.0
43,2020-02-12,130.0,0.0,2.0
44,2020-02-13,130.0,0.0,2.0
45,2020-02-14,131.0,0.0,2.0
46,2020-02-15,51.0,40.0,4.0
47,2020-02-16,10.0,40.0,6.0
48,2020-02-17,11.0,1.0,6.0
49,2020-02-18,12.000000000000002,1.0,8.0
50,2020-02-19,12.000000000000002,1.0,8.0
51,2020-02-20,12.000000000000002,1.0,10.0
52,2020-02-21,12.024999999999999,1.0,10.0
53,2020-02-22,12.000000000000002,1.0,10.0
54,2020-02-23,13.0,1.0,14.0
55,2020-02-24,14.0,1.0,15.0
56,2020-02-25,14.0,1.0,16.0
57,2020-02-26,14.024999999999977,1.0,16.0
58,2020-02-27,14.0,1.0,17.0
59,2020-02-28,15.0,1.0,21.0
60,2020-02-29,16.0,1.0,21.0
61,2020-03-01,16.0,1.0,22.0
62,2020-03-02,16.024999999999977,1.0,23.0
63,2020-03-03,17.0,2.0,23.0
64,2020-03-04,17.024999999999977,2.0,24.0
65,2020-03-05,17.0,2.0,25.0
66,2020-03-06,17.024999999999977,2.0,25.0
67,2020-03-07,18.0,2.0,25.0
68,2020-03-08,18.0,2.0,25.0
69,2020-03-09,18.024999999999977,2.0,26.0
70,2020-03-10,19.0,2.0,26.0
71,2020-03-11,19.024999999999977,2.0,26.0
72,2020-03-12,20.0,2.0,27.0
73,2020-03-13,19.0,2.0,27.0
74,2020-03-14,20.0,2.0,27.0
75,2020-03-15,22.024999999999977,2.0,27.0
76,2020-03-16,23.024999999999977,2.0,27.0
77,2020-03-17,24.02499999999998,2.0,29.0
78,2020-03-18,24.000000000000004,3.0000000000000004,30.0
79,2020-03-19,24.02499999999998,3.0000000000000004,33.0
80,2020-03-20,25.0,3.0000000000000004,33.0
81,2020-03-21,25.0,3.0000000000000004,36.0
82,2020-03-22,25.024999999999977,3.0000000000000004,37.0
83,2020-03-23,27.0,3.0000000000000004,37.0
84,2020-03-24,27.024999999999977,3.0000000000000004,38.0
85,2020-03-25,29.000000000000004,3.0000000000000004,40.0
86,2020-03-26,29.000000000000004,3.0000000000000004,40.0
87,2020-03-27,30.0,3.0000000000000004,42.0
88,2020-03-28,30.0,3.0000000000000004,43.0
89,2020-03-29,30.024999999999977,3.0249999999999777,44.0
90,2020-03-30,31.024999999999977,3.0249999999999777,46.0
91,2020-03-31,32.0,4.0,46.0
92,2020-04-01,32.02499999999998,4.0,48.0
93,2020-04-02,33.0,4.0,50.0
94,2020-04-03,33.02499999999998,4.0,51.0
95,2020-04-04,34.02499999999998,4.0,51.0
96,2020-04-05,35.0,4.0,52.0
97,2020-04-06,34.0,4.0,52.0
98,2020-04-07,34.0,4.0,53.0
99,2020-04-08,35.0,4.0,54.0
100,2020-04-09,35.02499999999998,4.0,54.0
101,2020-04-10,36.0,5.0,54.0
102,2020-04-11,36.0,5.0,55.0
103,2020-04-12,36.0,5.0,55.0
104,2020-04-13,36.02499999999998,5.0,55.0
105,2020-04-14,37.0,5.0,55.0
106,2020-04-15,37.0,5.0,55.0
107,2020-04-16,37.0,5.0,55.0
108,2020-04-17,37.0,6.000000000000001,55.0
109,2020-04-18,37.0,6.000000000000001,55.0
110,2020-04-19,37.0,6.000000000000001,55.0
111,2020-04-20,37.0,6.000000000000001,55.0
112,2020-04-21,37.02499999999998,6.000000000000001,55.0
113,2020-04-22,37.02499999999998,7.0,55.0
114,2020-04-23,38.0,7.0,55.0
115,2020-04-24,38.0,7.0,55.0
116,2020-04-25,38.0,7.0,55.0
117,2020-04-26,38.0,8.0,55.0
118,2020-04-27,38.0,8.0,55.0
119,2020-04-28,38.0,7.0,55.0
120,2020-04-29,38.0,7.0,55.0
121,2020-04-30,38.0,7.0,55.0
122,2020-05-01,38.0,8.0,55.0
123,2020-05-02,38.0,8.0,55.0
124,2020-05-03,38.0,8.0,55.0
125,2020-05-04,38.0,8.0,55.0
126,2020-05-05,38.0,9.0,55.0
127,2020-05-06,38.0,9.0,55.0
128,2020-05-07,38.0,9.0,55.0
129,2020-05-08,38.0,9.0,55.0
130,2020-05-09,38.0,10.0,55.0
131,2020-05-10,38.0,9.024999999999999,55.0
132,2020-05-11,38.0,9.0,55.0
133,2020-05-12,38.0,9.0,55.0
134,2020-05-13,38.0,9.0,55.0
135,2020-05-14,38.0,10.0,55.0
136,2020-05-15,38.0,10.0,55.0
137,2020-05-16,38.0,10.0,55.0
138,2020-05-17,38.0,10.0,55.0
139,2020-05-18,38.0,10.0,55.0
140,2020-05-19,38.0,10.0,55.0
141,2020-05-20,38.0,10.0,55.0
142,2020-05-21,38.0,10.0,55.0
143,2020-05-22,38.0,10.0,55.0
144,2020-05-23,38.0,10.0,55.0
145,2020-05-24,38.0,10.024999999999977,55.0
146,2020-05-25,38.0,11.0,55.0
147,2020-05-26,38.0,11.0,55.0
148,2020-05-27,38.0,11.0,55.0
149,2020-05-28,38.0,11.0,55.0
150,2020-05-29,38.0,10.024999999999999,55.0
151,2020-05-30,38.0,10.024999999999999,55.0
152,2020-05-31,38.0,10.024999999999999,55.0
153,2020-06-01,38.0,10.0,55.0
154,2020-06-02,38.0,10.0,55.0
155,2020-06-03,38.0,10.0,55.0
156,2020-06-04,38.0,10.024999999999977,55.0
157,2020-06-05,38.0,11.0,55.0
158,2020-06-06,38.0,11.0,55.0
159,2020-06-07,38.0,11.0,55.0
160,2020-06-08,38.0,11.0,55.0
161,2020-06-09,38.0,11.0,55.0
162,2020-06-10,38.0,11.0,55.0
163,2020-06-11,38.0,11.0,55.0
164,2020-06-12,38.0,11.0,55.0
165,2020-06-13,38.0,11.0,55.0
166,2020-06-14,38.0,11.0,55.0
167,2020-06-15,38.0,11.0,55.0
